Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Germany,150 - 500,Financial Services,Business,Exasol,Exasol,7.1,Scalability,,,,,,,,,,,Ease of use for business users,Ease of use for technical users,,,Convincing performance,,,,,Product roadmap,,,,,,,,,300,30,4,15,In several divisions,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,Data Preparation for Business Users,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,Tool doesn't work with existing IT tools,,,,,Solution implementation needs workarounds,,,Quality of connector is not sufficient,,,,,,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Don't know / not available,Satisfactory,Good,Good,Very satisfied,Definitely,Predominantly data-based,,,Security & privacy,,,Business user enablement,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Strongly increased,Slightly increased,Slightly increased,,Germany,Banking and finance,CIO/IT management,Dedicated BI and analytics unit,Yes,Yes,1,Europe,DACH,Financial Services,251 - 500,100 - 2500,150 - 500,25 - 75,10,5 to less than 10%,Exasol,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,IT,Did not respond,Exasol,Exasol,7.0.16,Scalability,,,Innovative strength of the vendor,,Local presence and good support,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,,,,Convincing performance,,,,,,,,,,Range of available functions,Quality of functions,,,6000,100,4,15,In one division,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,Data Pipelining,,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,Lack of external know-how,,,,,,,,,,,,,,,,,,,Others,Excellent,Don't know / not available,Good,Excellent,Good,Satisfactory,Satisfactory,Good,Good,Good,Good,Good,Very satisfied,Maybe,Predominantly based on gut feeling,,"Distributed data, computing & decision-making",,,,Business user enablement,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,IT,"Other, please specify:",R&D,Yes,No,1,Europe,DACH,IT,2501 – 10000,More than 2500,1501 - 6000,76 - 300,1.666666667,1 to less than 5%,Exasol,,Less than 25,Less than 25
Asia and Pacific,India,150 - 500,Services,Did not respond,Oracle Database,Oracle Database,18c,Scalability,Extensibility of the solution,,,,,,,,,,,,,,,,,,,,AI/ML for development/maintenance of data,,,,,,,,150,20,5,15,For the implementation of a specific use case,,,,,Data Storage/Data Provisioning,Query Engine,Data Pipelining,,,,,,,,,,,,,,,,,,,,Customization of tool is limited,Lack of maturity/culture in the enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Satisfactory,Good,Very satisfied,Definitely,Purely data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,Artificial intelligence & machine learning,,,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,India,India,Consulting,Data scientist,,Yes,,2,Asia and Pacific, ,Services,100 - 250,100 - 2500,150 - 500,Less than 25,13.33333333,10 to less than 15%,Oracle Database,,Less than 25,Less than 25
North America,United States of America,More than 6000,Manufacturing,Business,SAP DI,SAP DI,SAP DI Cloud 2113.15.36,Scalability,,Openness,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",,,,,,,,,,,,,Product roadmap,,,Connectivity to source and target systems,,Range of available functions,,,,10000,20,5,15,For the implementation of a specific use case,,,,,,,Data Pipelining,Data Integration,,,Cloud Integration,,,,,,,,,,,,,,,Unreliable software,,,,,,,,,Lack of external know-how,Lack of internal know-how,,,The product is not enterprise-ready,,,,,,,Solution implementation needs workarounds,,,,,,,,,Good,Excellent,Poor,Good,Good,Don't know / not available,Good,Good,Satisfactory,Good,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,United States of America,United States of America,Process industry,Person responsible for BI from IT department,,Yes,Yes,3,North America, ,Manufacturing,2501 – 10000,More than 2500,More than 6000,Less than 25,0.2,1 to less than 5%,SAP DI,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Manufacturing,Business,SAP DI,SAP DI,SAP DI Cloud 2113.15.36,Scalability,,Openness,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",,,,,,,,,,,,,Product roadmap,,,Connectivity to source and target systems,,Range of available functions,,,,10000,20,5,15,For the implementation of a specific use case,,,,,,,Data Pipelining,Data Integration,,,Cloud Integration,,,,,,,,,,,,,,,Unreliable software,,,,,,,,,Lack of external know-how,Lack of internal know-how,,,The product is not enterprise-ready,,,,,,,Solution implementation needs workarounds,,,,,,,,,Good,Excellent,Poor,Good,Good,Don't know / not available,Good,Good,Satisfactory,Good,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,United States of America,United States of America,Process industry,Person responsible for BI from IT department,,Yes,Yes,3,North America, ,Manufacturing,2501 – 10000,More than 2500,More than 6000,Less than 25,0.2,1 to less than 5%,SAP DI,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Transport,Did not respond,Synabi D-QUANTUM,Synabi D-QUANTUM,V4.x,Scalability,,Openness,,,Local presence and good support,Local presence and quality of support,,Good price-performance ratio,Prebuilt content,,,,,,,,,,,,,,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,2000,50,5,15,In several divisions,,,,Data Governance,,,,,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,,,,,,Data Catalog,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Satisfactory,Excellent,Good,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,,,Security & privacy,,Data culture,Business user enablement,,,,,,,,,,,,,,,,,,Germany,Germany,Transportation and logistics,External consultant,,Yes,No,1,Europe,DACH,Transport,1001 – 2500,100 - 2500,1501 - 6000,25 - 75,2.5,1 to less than 5%,Synabi D-QUANTUM,,Less than 25,Less than 25
Europe,Netherlands,1501 - 6000,Other,Did not respond,Exasol,Exasol,07.01.2006,,,Openness,,,,,,Good price-performance ratio,,,,,,Integration into existing IT operations,Convincing performance,,,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,,,,,,2500,75,5,15,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,Lack of resources/budget,,,Unreliable software,,,,,Insufficient support,,,,,,,,,,,Performance too slow,,,,,,,,,,,,,Don't know / not available,Don't know / not available,Poor,Satisfactory,Satisfactory,Don't know / not available,Good,Satisfactory,Good,Satisfactory,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,,,Security & privacy,,Data culture,,,,,,,,,,,,,,,,,,,,Netherlands,Other,Data scientist,IT,Yes,No,1,Europe,BeNeLux,Other,1001 – 2500,100 - 2500,1501 - 6000,25 - 75,3,1 to less than 5%,Exasol,,Less than 25,Less than 25
Europe,Spain,150 - 500,Other,Business,MS SQL Server,MS SQL Server,Microsoft SQL Server 2017 (RTM-CU22) (KB4577467) - 14.0.3356.20 (X64)   Aug 20 2020 22:33:27   Copyright (C) 2017 Microsoft Corporation  Standard Edition (64-bit) on Windows Server 2016 Datacenter 10.0 <X64> (Build 14393: ) (Hypervisor),Scalability,,,,,,,,,,Integrated end-to-end platform,,,Disaster recovery concepts,Integration into existing IT operations,Convincing performance,Available know-how in the company,,Integration into enterprise data processes,,,,,,,,,,,500,300,5,15,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,Customization of tool is limited,,,,,,,Inflexible licensing model,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Strongly increased,Slightly increased,Slightly decreased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,,Spain,Agriculture,Data engineer/data manager,IT,Yes,,1,Europe,Southern Europe,Other,251 - 500,100 - 2500,150 - 500,76 - 300,60,50 to less than 75%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Poland,1501 - 6000,Financial Services,Business,Other,Teradata Vantage,16.2,Scalability,,,,,,,,,,,,,,,Convincing performance,,,,,,,,,,,,,,5000,600,5,15,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,,,,Data Integration,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,,,Unreliable software,,,,,,,,,,,,,,,,Performance too slow,,Problems with product updates,,,,,,,,,,,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Very poor,Satisfactory,Satisfactory,Poor,Rather satisfied,Probably,Predominantly data-based,,"Distributed data, computing & decision-making",Security & privacy,,,Business user enablement,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Poland,Poland,Banking and finance,Data engineer/data manager,,Yes,,1,Europe,Eastern Europe,Financial Services,2501 – 10000,More than 2500,1501 - 6000,More than 300,12,10 to less than 15%,Other,Business,Less than 25,Less than 25
Europe,Spain,More than 6000,IT,Business,MS SQL Server,MS SQL Server,2019,,,Openness,,,,,,,,,,,,,,,,,Adoption rate of market trends in the tool,,,Automation of data processes,,,,,,,30000,400,10,15,Company-wide,Data Warehousing/BI,,,Data Governance,,,,,,,,,,,,,A Holistic Data Platform,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Satisfactory,Good,Neither satisfied nor dissatisfied,Probably,Predominantly data-based,,"Distributed data, computing & decision-making",,Artificial intelligence & machine learning,,,Stayed the same,Slightly decreased,Strongly decreased,Slightly decreased,Stayed the same,Slightly increased,Stayed the same,Slightly decreased,Stayed the same,Slightly increased,Stayed the same,Slightly decreased,Strongly decreased,Slightly decreased,Stayed the same,Slightly increased,Strongly increased,,Spain,IT,CIO/IT management,IT,Yes,,1,Europe,Southern Europe,IT,10001 -  100000,More than 2500,More than 6000,More than 300,1.333333333,1 to less than 5%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Switzerland,More than 6000,Financial Services,Did not respond,Informatica PowerCen.,Informatica PowerCen.,10,,,Openness,,,,,,,,,,,,,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,10000,20,4,16,In several divisions,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Germany,Switzerland,Banking and finance,Data owner,,Yes,,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,More than 6000,Less than 25,0.2,1 to less than 5%,Informatica PowerCen.,,Less than 25,Less than 25
Europe,Switzerland,More than 6000,Financial Services,Did not respond,Informatica PowerCen.,Informatica PowerCen.,10,,,Openness,,,,,,,,,,,,,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,10000,20,4,16,In several divisions,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Germany,Switzerland,Banking and finance,Data owner,,Yes,,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,More than 6000,Less than 25,0.2,1 to less than 5%,Informatica PowerCen.,,Less than 25,Less than 25
Europe,Switzerland,More than 6000,Financial Services,Did not respond,Informatica PowerCen.,Informatica PowerCen.,10,,,Openness,,,,,,,,,,,,,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,10000,20,4,16,In several divisions,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Germany,Switzerland,Banking and finance,Data owner,,Yes,,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,More than 6000,Less than 25,0.2,1 to less than 5%,Informatica PowerCen.,,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Services,Did not respond,SAP BW/4HANA,SAP BW/4HANA,7.4,,,,,,,,,,,Integrated end-to-end platform,,,,Integration into existing IT operations,,Available know-how in the company,,Integration into enterprise data processes,,,,,Connectivity to source and target systems,,,,,,5000,20,3,17,,Data Warehousing/BI,,,,,,,Data Integration,,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,High complexity in operation,,,,Lack of internal know-how,,,,,,,,,,Solution implementation needs workarounds,,,,,,,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Maybe,,Digitization & data-driven enterprise,,,,Data culture,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Germany,Germany,Consulting,External consultant,,Yes,,1,Europe,DACH,Services,2501 – 10000,More than 2500,1501 - 6000,Less than 25,0.4,1 to less than 5%,SAP BW/4HANA,,Less than 25,Less than 25
Europe,Germany,More than 6000,Transport,Business,Snowflake CDP,Snowflake CDP,,Scalability,,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,,Local presence and quality of support,"Flexible, good licensing model/price",,,,,,,,,,,,,,,,,,,,,,12000,20,2,18,Company-wide,Data Warehousing/BI,,Data Lake,Data Governance,Data Storage/Data Provisioning,,,,,,,,,,Self-Service Analytics,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,,,,,,,,Solution implementation needs workarounds,,,,The product lacks key features,,,,,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Transportation and logistics,Enterprise architect,IT,Yes,,1,Europe,DACH,Transport,10001 -  100000,More than 2500,More than 6000,Less than 25,0.166666667,1 to less than 5%,Snowflake CDP,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Transport,Business,Snowflake CDP,Snowflake CDP,,Scalability,,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,,Local presence and quality of support,"Flexible, good licensing model/price",,,,,,,,,,,,,,,,,,,,,,12000,20,2,18,Company-wide,Data Warehousing/BI,,Data Lake,Data Governance,Data Storage/Data Provisioning,,,,,,,,,,Self-Service Analytics,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,,,,,,,,Solution implementation needs workarounds,,,,The product lacks key features,,,,,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Transportation and logistics,Enterprise architect,IT,Yes,,1,Europe,DACH,Transport,10001 -  100000,More than 2500,More than 6000,Less than 25,0.166666667,1 to less than 5%,Snowflake CDP,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Services,Business,MS SQL Server,MS SQL Server,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,1000,1,0,20,In several divisions,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,,,,,,,,,,,,,,,,Lack of resources/budget,Organizational issues,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Don't know / not available,Don't know / not available,Don't know / not available,Good,Good,Don't know / not available,Good,Don't know / not available,Don't know / not available,Don't know / not available,Don't know / not available,Don't know / not available,Neither satisfied nor dissatisfied,Probably,Predominantly based on gut feeling,,,,Artificial intelligence & machine learning,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,,Germany,Healthcare,Head of business department,Other,Yes,No,1,Europe,DACH,Services,501 - 1000,100 - 2500,501 - 1500,Less than 25,0.1,1 to less than 5%,MS SQL Server,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Services,Did not respond,Snowflake CDP,Snowflake CDP,,Scalability,,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,,,,,,,,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,7000,20,0,20,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,Data Storage/Data Provisioning,,,,,,,,Data Stewardship/Data Quality Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,Lack of external know-how,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Don't know / not available,Excellent,Excellent,Good,Don't know / not available,Don't know / not available,Don't know / not available,Good,Good,Good,Very satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,,,,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,,,Strongly increased,Stayed the same,Slightly increased,Stayed the same,,,,,,,Germany,Germany,Services,External consultant,,Yes,,1,Europe,DACH,Services,2501 – 10000,More than 2500,More than 6000,Less than 25,0.285714286,1 to less than 5%,Snowflake CDP,,Less than 25,Less than 25
Europe,Germany,More than 6000,Services,Did not respond,Snowflake CDP,Snowflake CDP,,Scalability,,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,,,,,,,,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,7000,20,0,20,In several divisions,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,,,Data Storage/Data Provisioning,,,,,,,,Data Stewardship/Data Quality Management,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,Lack of external know-how,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Don't know / not available,Excellent,Excellent,Good,Don't know / not available,Don't know / not available,Don't know / not available,Good,Good,Good,Very satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,,,,Business user enablement,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Stayed the same,,,Strongly increased,Stayed the same,Slightly increased,Stayed the same,,,,,,,Germany,Germany,Services,External consultant,,Yes,,1,Europe,DACH,Services,2501 – 10000,More than 2500,More than 6000,Less than 25,0.285714286,1 to less than 5%,Snowflake CDP,,Less than 25,Less than 25
Europe,Austria,1501 - 6000,Financial Services,Did not respond,dataspot.,dataspot.,2.3,Scalability,Extensibility of the solution,,Innovative strength of the vendor,Fast reaction time on support tickets,,Local presence and quality of support,,,,,Ease of use for business users,,,,,Available know-how in the company,,,,,,,,,,,,,2000,,2,20,Company-wide,Data Warehousing/BI,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,,,Lack of resources/budget,Organizational issues,,,,,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Don't know / not available,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Poor,Don't know / not available,Excellent,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,,,,,,,,,,,,,,,,,,,,Austria,Banking and finance,Data scientist,Dedicated BI and analytics unit,Yes,No,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,1501 - 6000,, ,,dataspot.,,Less than 25,Less than 25
Asia and Pacific,New Zealand,150 - 500,IT,Did not respond,Other,Matillion ETL,Snowflake,,Extensibility of the solution,Openness,,,,,,,,,,Ease of use for technical users,,,,,Reusability/metadata-driven development,,,,,Automation of data processes,,,,,,,180,20,2,20,In one division,Data Warehousing/BI,,Data Lake,,,,Data Pipelining,Data Integration,,,Cloud Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Satisfactory,Good,Good,Good,Good,Good,Excellent,Satisfactory,Excellent,Good,Good,Good,Rather satisfied,Definitely,Half data-based and half based on gut feeling,,,,,Data culture,Business user enablement,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,New Zealand,New Zealand,IT,External consultant,,No,,2,Asia and Pacific, ,IT,100 - 250,100 - 2500,150 - 500,Less than 25,11.11111111,10 to less than 15%,Other,,Less than 25,Less than 25
Europe,Germany,More than 6000,Services,Business,Other,VaultSpeed,Current (SaaS),,Extensibility of the solution,Openness,,,,,,Good price-performance ratio,,,,Ease of use for technical users,,,Convincing performance,Available know-how in the company,Reusability/metadata-driven development,,Adoption rate of market trends in the tool,Product roadmap,,Automation of data processes,,,,Quality of functions,,,35000,20,2,20,Company-wide,Data Warehousing/BI,Advanced Analytics/Machine Learning/AI,Data Lake,,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Good,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly decreased,Slightly decreased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Slightly increased,,Germany,Healthcare,Chief data officer,IT,No,No,1,Europe,DACH,Services,10001 -  100000,More than 2500,More than 6000,Less than 25,0.057142857,1 to less than 5%,Other,Business,Less than 25,Less than 25
