Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_27211,Q_28211,Q_29211,Q_30211,Q_31211,Q_12211,Q_13211,Q_15211,Q_18211,Q_19211,Q_23211,Q_32_1211,Q_33_1211,Q_24211,Q_34211,Q_35211,Q_26211,Q_36211,Q_28_999211,Q_58214,Q_51214,Q_59214,Q_46214,Q_60214,Q_884214,Q_61214,Q_40214,Q_41214,Q_42214,Q_62214,Q_45214,Q_43214,Q_44214,Q_65214,Q_66214,Q_54214,Q_67214,Q_56_999214,Q_101_1215,Q_84215,Q_85215,Q_86215,Q_87215,Q_102_1215,Q_88215,Q_89215,Q_90215,Q_91215,Q_93215,Q_94215,Q_95215,Q_96215,Q_103_1215,Q_104_1215,Q_105_1215,Q_97215,Q_98_999215,Q_101218,Q_112_1219,Q_104223,Q_105221,Q_103217,Q_113_1224,Q_114220,Q_115222,Q_116225,Q_886216,Q_887226,Q_111213,Q_112212,Q_906230,Q_907230,Q_908230,Q_909230,Q_910230,Q_911230,Q_912230,Q_913230,Q_904230,Q_914231,Q_920234,Q_921234,Q_922234,Q_923234,Q_924234,Q_925234,Q_926234,Q_927234,Q_928234,Q_929234,Q_932234,Q_930234,Q_937233,Q_938233,Q_939233,Q_940233,Q_941233,Q_942233,Q_943233,Q_944233,Q_945233,Q_946233,Q_947233,Q_949232,Q_950,Q_951,Q_952,Q_955,Q_956,Q_957,Q_958,Q_959,Q_960,Q_961,Q_346,Q_351,Q70_1201,Q_352,Q_354207,Q_356202,Q70_regions208,Industry_bundlednew203,Q32_GROUP205,Q33_discrete204,Q_3_bundled210,Q33Q32206
Europe,Switzerland,Less than 150,Services,Did not respond,dataspot.,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,Provision/deployment model,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,Recommendation/chosen after selection,Existing relationship with the vendor,Know-how available on the market,,,,Data Warehousing/BI,Data Governance,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,New business models,,Business intelligence,,Data protection,Use of artificial intelligence,,Other,"Less than $100,000",Master data/Data quality management,Data-driven culture,Empowerment of business users,Data democratization,Data governance,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,Modernizing data & analytics architectures,Acquiring new technology,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,BSgroup Data Analytics AG,Switzerland,Switzerland,Consulting,Business analyst,,Europe,Services,Less than 150,Less than 25,dataspot.,15 to less than 20%
Europe,Austria,150 - 500,IT,IT,dataspot.,,,,Local presence and good support,Solution met our requirements,,,,,,,,Ease of use for business users,,,,,,,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,,,,,,The product lacks key features,,The product cannot process data adequately,,,,,,,,,,,Satisfactory,Satisfactory,Good,Good,Satisfactory,Good,Satisfactory,Excellent,Good,Satisfactory,Good,Rather satisfied,Probably,,,,Business intelligence,Regulatory/compliance requirements,Data protection,,,,,,,Empowerment of business users,,Data governance,,Data warehouse modernization,,,,,,,Creating a data culture,,,,,,,Developing implementation concepts,,,Medium,not quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Austria,IT,IT employee,IT,Europe,IT,150 - 500,Less than 25,dataspot.,1 to less than 5%
Europe,Austria,500 - 1500,Services,Business,dataspot.,,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,Scalability,,Connectivity to source and target systems,,Provision/deployment model,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,,,,,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,Lack of maturity in the enterprise,Organizational issues,Company policy/lack of resources/budget,,,,,,,,,,,,,,,,,Good,Excellent,Good,Excellent,Don't know/not available,Excellent,Satisfactory,Good,Satisfactory,Don't know/not available,Good,Very satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,,,Use of artificial intelligence,,,"Less than $100,000",Master data/Data quality management,,Empowerment of business users,,Data governance,Self-service analytics/BI,,,,Data & analytics platforms,,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,,Acquiring new technology,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Austria,Healthcare,Member of cross-functional BI/analytics team,Management,Europe,Services,500 - 1500,Less than 25,dataspot.,1 to less than 5%
Europe,Austria,500 - 1500,Financial Services,Business,dataspot.,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,,,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,,,,,Holistic Data Platform,,,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,Lack of maturity in the enterprise,,,,,,,,,,,,,,,,,,,Good,Good,Good,Satisfactory,Don't know/not available,Satisfactory,Good,Satisfactory,Good,Satisfactory,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,,Regulatory/compliance requirements,,,,,"$100,000 - $499,999",Master data/Data quality management,,Empowerment of business users,,Data governance,,,,,Data & analytics platforms,,,,Creating a data culture,,,Modernizing data & analytics architectures,,,,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Austria,Banking and finance,Data scientist,Other,Europe,Financial Services,500 - 1500,Less than 25,dataspot.,1 to less than 5%
Europe,Germany,500 - 1500,Retail/Wholesale,Business,Did not respond,Innovative strength of the vendor,,,Local presence and good support,,,Scalability,,,,,,,,,,,,Other,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,,Data Virtualization,,,,,,Self-Service Analytics,,,Other,,Organizational issues,Company policy/lack of resources/budget,,Lack of internal know-how,,,,,,,,,,The product did not meet our expectations,,,,Other,Satisfactory,Good,Poor,Excellent,Satisfactory,Good,Don't know/not available,Satisfactory,Good,Don't know/not available,Good,Rather satisfied,Definitely,,,,Business intelligence,,,,,Other,"Less than $100,000",,,,,,,,,,,,Other,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,Modernization of IT operations,,Low,-77,-77,-77,-77,-66,not quoted,not quoted,not quoted,quoted,KOnzern-Entscheidung,-66,-77,Germany,Retail / Wholesale / Trade,Person responsible for departmental BI,Dedicated BI and analytics unit,Europe,Retail/Wholesale,500 - 1500,76 - 300,,15 to less than 20%
Europe,Germany,1500 - 6000,Other,IT,Did not respond,,,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,,,,Good price-performance ratio,,,Existing relationship with the vendor,,Other,,,Data Warehousing/BI,,,,,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Excellent,Excellent,Excellent,Excellent,Satisfactory,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,,,,Empowerment of business users,Data democratization,,Self-service analytics/BI,,,Cloud for data & analytics,,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Other,Person responsible for BI from IT department,IT,Europe,Other,1500 - 6000,More than 300,,30 to less than 40%
Europe,France,500 - 1500,Transport,IT,Did not respond,,,,,,Convincing performance,,,Connectivity to source and target systems,,,Ease of use for technical users,,,,,Existing relationship with the vendor,,,,,Data Warehousing/BI,,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Satisfactory,Satisfactory,Excellent,Poor,Excellent,Good,Good,Good,Good,Excellent,Very satisfied,Probably,,,,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,,,,Self-service analytics/BI,Data warehouse modernization,,,,Data security/data privacy,,,,,Establishing organization for data & analytics,,Acquiring new technology,,,Developing implementation concepts,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,France,Transportation and logistics,IT employee,IT,Europe,Transport,500 - 1500,25 - 75,,1 to less than 5%
Europe,Switzerland,Less than 150,Public sector and Education,Did not respond,Did not respond,Innovative strength of the vendor,Good reputation of the product/vendor,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,Provision/deployment model,,,Good price-performance ratio,,,Existing relationship with the vendor,,,,,,,,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,Data Discovery,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,,,,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,,,,,,,,Creating a data culture,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,Kissinger Consulting GmbH,Germany,Switzerland,Public sector,CEO/board member,,Europe,Public sector and Education,Less than 150,Less than 25,,More than 75%
Europe,Italy,150 - 500,Financial Services,Business,Did not respond,,Good reputation of the product/vendor,,,,Convincing performance,Scalability,,,,,,,,,,,,,,,Data Warehousing/BI,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,,,Self-Service Analytics,Data Discovery,,,,,,,Lack of internal know-how,,,,,,High complexity in operation,,,,,Product difficult for business users to operate,,,,Satisfactory,Good,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Good,Good,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,Data-driven culture,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,,,,,Defining a data & analytics strategy,Creating a data culture,,,,,,,,,,Medium,not quoted,quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,Italy,Banking and finance,Member of cross-functional BI/analytics team,Finance and controlling,Europe,Financial Services,150 - 500,Less than 25,,1 to less than 5%
Europe,Germany,Less than 150,Public sector and Education,Did not respond,Did not respond,,,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,,,Good price-performance ratio,Existing know-how in the company,,,,Other,,,Data Warehousing/BI,Data Governance,,,,,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,,,Self-Service Analytics,Data Discovery,,,,Organizational issues,,,,,,,,,,,,,,,,,,Excellent,Good,Don't know/not available,Don't know/not available,Excellent,Satisfactory,Good,Good,Good,Don't know/not available,Good,Very satisfied,Definitely,Transformation to a data-driven company,New business models,Advanced analytics,,,Data protection,,,,"$100,000 - $499,999",Master data/Data quality management,,Empowerment of business users,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,Building competencies,Establishing organization for data & analytics,,,,,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,Germany,Germany,Public sector,Enterprise architect,,Europe,Public sector and Education,Less than 150,Less than 25,,More than 75%
North America,United States of America,Less than 150,Transport,Business,Did not respond,,,,,,Convincing performance,Scalability,Functional scope,,,,,Ease of use for business users,,,,,,,,,,,,,,Data Integration,,,,,,,,Self-Service Analytics,Data Discovery,,,,Organizational issues,,,,,,,,,,,,,,,Insufficient speed and/or quality of support,,,Satisfactory,Satisfactory,Satisfactory,Good,Good,Satisfactory,Good,Good,Poor,Satisfactory,Good,Partly satisfied/partly dissatisfied,Perhaps,Transformation to a data-driven company,,,Business intelligence,,,,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,,,,Self-service analytics/BI,,,,,,,,,,,Modernizing data & analytics architectures,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,United States of America,Transportation and logistics,Person responsible for BI from IT department,Finance and controlling,North America,Transport,Less than 150,Less than 25,,10 to less than 15%
Europe,Germany,More than 6000,Retail/Wholesale,Business,Did not respond,,,,,,Convincing performance,,Functional scope,Connectivity to source and target systems,,,,,Good price-performance ratio,,,,,,,,,,,,,Data Integration,,,,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Excellent,Good,Excellent,Good,Good,Good,Excellent,Don't know/not available,Good,Good,Very satisfied,Definitely,Transformation to a data-driven company,New business models,,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,,,,Acquiring new technology,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Retail / Wholesale / Trade,Data engineer/data manager,Finance and controlling,Europe,Retail/Wholesale,More than 6000,Less than 25,,1 to less than 5%
Europe,Germany,More than 6000,Manufacturing,Business,Did not respond,Innovative strength of the vendor,Good reputation of the product/vendor,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,,Ease of use for business users,,,,,,,,,,,,,,,Data Preparation for Business Users,Data Virtualization,,,Data Stewardship/Data Quality Management,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Don't know/not available,Excellent,Very satisfied,Definitely,,,,Business intelligence,,Data protection,,,,$1 million or more,,,,,Data governance,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,Manufacturing,Person responsible for departmental BI,Finance and controlling,Europe,Manufacturing,More than 6000,25 - 75,,1 to less than 5%
Europe,Germany,Less than 150,IT,Did not respond,Did not respond,Innovative strength of the vendor,,,,,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,,,,,,,,,,Other,,,,,,,,Data Integration,,,,,,Master/Reference Data Management,,,Data Discovery,,Other,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Very satisfied,Definitely,,,,,,Data protection,,,Other,,,,,,,,,Artificial intelligence,,Data & analytics platforms,,,,,Building competencies,,,,,,Developing implementation concepts,,,Medium,not quoted,quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,OMG Fancturing Europe,Germany,Germany,IT,Person responsible for BI from IT department,,Europe,IT,Less than 150,Less than 25,,5 to less than 10%
Europe,Germany,500 - 1500,Other,Business,Did not respond,,,,,,,,Functional scope,,,,,,,,,,,Other,,,,,,,,Data Integration,,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Satisfactory,Good,Good,Good,Good,Good,Good,Good,Very poor,Very poor,Rather satisfied,Perhaps,,,,Business intelligence,,,,,,"$100,000 - $499,999",,,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,Germany,Media/Publishing,Head of business department,Finance and controlling,Europe,Other,500 - 1500,25 - 75,,10 to less than 15%
Europe,Germany,500 - 1500,Manufacturing,Business,Did not respond,,,,,Solution met our requirements,,,Functional scope,,,,Ease of use for technical users,Ease of use for business users,,,,,,,,,,,Data Storage/Data Provisioning,,,Data Integration,,,,,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,Lack of maturity in the enterprise,,,,Lack of internal know-how,,,,,,,,,,,,,,,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Don't know/not available,Excellent,Very satisfied,Definitely,,,,,,,,Protection from external effects,Other,"Less than $100,000",Master data/Data quality management,,,,Data governance,,,,,,Data security/data privacy,,Defining a data & analytics strategy,,,Establishing organization for data & analytics,,,,,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Construction,Head of business department,Finance and controlling,Europe,Manufacturing,500 - 1500,Less than 25,,1 to less than 5%
Europe,Switzerland,1500 - 6000,Financial Services,Business,Did not respond,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,,Scalability,Functional scope,Connectivity to source and target systems,,,,,,Existing know-how in the company,,,,,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,Data Preparation for Business Users,Data Virtualization,Cloud Integration,Data Warehouse Automation,Data Stewardship/Data Quality Management,Master/Reference Data Management,,Self-Service Analytics,,,,,,,Lack of use cases/quick-win scenarios,,,,,,"Query, load, processing performance too slow",High complexity in operation,High complexity in development,,Inflexible licensing model,,,,,,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Good,Satisfactory,Good,Poor,Poor,Satisfactory,Rather satisfied,Perhaps,Transformation to a data-driven company,New business models,Advanced analytics,,,,,,,,,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,,,Cloud for data & analytics,Data & analytics platforms,Data security/data privacy,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,Developing implementation concepts,Modernization of IT operations,,Medium,quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Switzerland,Insurance,Enterprise architect,Dedicated BI and analytics unit,Europe,Financial Services,1500 - 6000,More than 300,,More than 75%
Asia and Pacific,Australia,150 - 500,Manufacturing,IT,Did not respond,,,,,Solution met our requirements,,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,,,,,,,,,,Holistic Data Platform,,Data Warehousing/BI,,,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,,,,,,,,,Organizational issues,Company policy/lack of resources/budget,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Excellent,Satisfactory,Good,Excellent,Good,Good,Good,Very satisfied,Definitely,,,,Business intelligence,Regulatory/compliance requirements,,,,,"Less than $100,000",Master data/Data quality management,,,,Data governance,,Data warehouse modernization,Artificial intelligence,,Data & analytics platforms,Data security/data privacy,,,,Building competencies,,,,,Implementing data & analytics projects,,,,Low,-77,-77,-77,-77,-66,quoted,not quoted,not quoted,not quoted,-99,-66,-77,Australia,Manufacturing,Business analyst,IT,Asia and Pacific,Manufacturing,150 - 500,25 - 75,,5 to less than 10%
Asia and Pacific,Australia,Less than 150,Did not respond,Business,Did not respond,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,Scalability,Functional scope,Connectivity to source and target systems,Openness of the tool,Provision/deployment model,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,Recommendation/chosen after selection,Existing relationship with the vendor,Know-how available on the market,,Holistic Data Platform,,,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,Master/Reference Data Management,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Good,Excellent,Satisfactory,Excellent,Good,Good,Excellent,Excellent,,,Very satisfied,Definitely,Transformation to a data-driven company,,Advanced analytics,,Regulatory/compliance requirements,Data protection,,,,$1 million or more,Master data/Data quality management,Data-driven culture,Empowerment of business users,Data democratization,Data governance,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,Data & analytics platforms,Data security/data privacy,,Defining a data & analytics strategy,Creating a data culture,Building competencies,Establishing organization for data & analytics,,,Larger budgets for external service providers,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Australia,,CEO/board member,Management,Asia and Pacific,,Less than 150,Less than 25,,50 to less than 75%
Europe,Germany,More than 6000,Manufacturing,IT,Did not respond,,,,,,,Scalability,,Connectivity to source and target systems,,,Ease of use for technical users,,Good price-performance ratio,,,,,,,,Data Warehousing/BI,,,,,Data Integration,,,,,,,,,,,,Lack of maturity in the enterprise,,,,Lack of internal know-how,Lack of external know-how,,,,,High complexity in operation,High complexity in development,,,,,,,,Poor,Satisfactory,Good,Satisfactory,Satisfactory,Very poor,Poor,Good,Poor,Poor,Poor,Rather dissatisfied,Definitely not,,,,Business intelligence,,Data protection,,,,"Less than $100,000",Master data/Data quality management,,,,Data governance,Self-service analytics/BI,,,,,,,,,,Establishing organization for data & analytics,,,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Manufacturing,Person responsible for BI from IT department,IT,Europe,Manufacturing,More than 6000,Less than 25,,1 to less than 5%
Europe,Germany,More than 6000,Services,Did not respond,Did not respond,,,,,,,,Functional scope,,,,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,,,,,,,,,,,,Data Pipelining,Data Integration,Data Preparation for Business Users,Data Virtualization,Cloud Integration,,Data Stewardship/Data Quality Management,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Good,Good,Good,Satisfactory,Good,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Transformation to a data-driven company,,,,,,,,,"$100,000 - $499,999",,Data-driven culture,Empowerment of business users,,Data governance,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,Creating a data culture,,,Modernizing data & analytics architectures,Acquiring new technology,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,REPLY,Germany,Germany,Consulting,CEO/board member,,Europe,Services,More than 6000,25 - 75,,1 to less than 5%
Europe,Germany,500 - 1500,Other,Business,Did not respond,Innovative strength of the vendor,,,Local presence and good support,Solution met our requirements,,Scalability,Functional scope,,,,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,,,,,,Holistic Data Platform,,Data Warehousing/BI,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,,,,,Self-Service Analytics,,,,Lack of maturity in the enterprise,,,,Lack of internal know-how,,,,,"Query, load, processing performance too slow",High complexity in operation,High complexity in development,,,,,,,,Excellent,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Very satisfied,Definitely,,,Advanced analytics,Business intelligence,,,,,,"$500,000 - $999,999",Master data/Data quality management,,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,,,Data security/data privacy,,,,,,Modernizing data & analytics architectures,Acquiring new technology,Larger budgets for external service providers,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Manufacturing,Data engineer/data manager,Finance and controlling,Europe,Other,500 - 1500,76 - 300,,20 to less than 30%
Europe,Germany,1500 - 6000,Financial Services,Did not respond,Did not respond,Innovative strength of the vendor,Good reputation of the product/vendor,Vendor stability/transparency,Local presence and good support,Solution met our requirements,Convincing performance,,Functional scope,Connectivity to source and target systems,Openness of the tool,,,,,,,,,,,Data Lake,Data Warehousing/BI,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Very satisfied,Probably,Transformation to a data-driven company,,,,Regulatory/compliance requirements,,,,,"$100,000 - $499,999",Master data/Data quality management,Data-driven culture,Empowerment of business users,,Data governance,,Data warehouse modernization,,,,,,,Creating a data culture,,,Modernizing data & analytics architectures,,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,NN,Germany,Germany,Insurance,Member of cross-functional BI/analytics team,,Europe,Financial Services,1500 - 6000,Less than 25,,1 to less than 5%
Europe,Germany,Less than 150,Financial Services,IT,Did not respond,Innovative strength of the vendor,,,,Solution met our requirements,Convincing performance,Scalability,Functional scope,,,,,Ease of use for business users,,,,,,,,,Data Warehousing/BI,Data Governance,Data Storage/Data Provisioning,Query Engine,,,Data Preparation for Business Users,Data Virtualization,,,,,,Self-Service Analytics,,,,Lack of maturity in the enterprise,,,,,,,,,"Query, load, processing performance too slow",,,,,,,,,,Satisfactory,Good,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Good,Partly satisfied/partly dissatisfied,Perhaps,,,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",,,,,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Banking and finance,Person responsible for BI from IT department,IT,Europe,Financial Services,Less than 150,25 - 75,,20 to less than 30%
Asia and Pacific,New Zealand,150 - 500,Services,Did not respond,Did not respond,,,,,,,,,,,,,Ease of use for business users,,,,,,,,,,,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,Other,Lack of maturity in the enterprise,,,,,,,,,"Query, load, processing performance too slow",,,,,,,Insufficient speed and/or quality of support,,Other,Don't know/not available,Satisfactory,Don't know/not available,Satisfactory,Satisfactory,Don't know/not available,Satisfactory,Satisfactory,Satisfactory,Don't know/not available,Satisfactory,Rather satisfied,Definitely,Transformation to a data-driven company,,,,,,,,,,,Data-driven culture,,,Data governance,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,,,,,Creating a data culture,,,,,,,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,Delta Informed Decisions,New Zealand,New Zealand,Consulting,Other,,Asia and Pacific,Services,150 - 500,25 - 75,,10 to less than 15%
Europe,France,Less than 150,Other,Business,Did not respond,,,,,,Convincing performance,Scalability,Functional scope,,,,,Ease of use for business users,,,,,,,,,Data Warehousing/BI,,,,,,,,,,,,,,,,,Lack of maturity in the enterprise,,Company policy/lack of resources/budget,,Lack of internal know-how,,,,,,,,,,,,,,,Good,Good,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Rather satisfied,Probably,Transformation to a data-driven company,,,Business intelligence,,,,,,,,Data-driven culture,,Data democratization,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,Creating a data culture,,,,,,,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,France,Agriculture,Business analyst,R&D,Europe,Other,Less than 150,Less than 25,,5 to less than 10%
North America,Canada,1500 - 6000,Manufacturing,IT,Did not respond,,,,,,,,Functional scope,,,,Ease of use for technical users,Ease of use for business users,Good price-performance ratio,Existing know-how in the company,,,,,,,,,,,,,,,,,,,Advanced Analytics/Machine Learning/AI,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,No significant problems,,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Don't know/not available,Excellent,Very satisfied,Definitely,,,Advanced analytics,,,,,,,,Master data/Data quality management,,,,,Self-service analytics/BI,,,,,,,,,,Establishing organization for data & analytics,,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Canada,Construction,Business analyst,IT,North America,Manufacturing,1500 - 6000,More than 300,,5 to less than 10%
